Drug1,Drug2,cell,drug1_db,drug2_db,synergy
5-FU,BORTEZOMIB,OV90,DB00544,DB00188,-9.586166869
5-FU,BORTEZOMIB,RKO,DB00544,DB00188,2.907200668
5-FU,BORTEZOMIB,RPMI7951,DB00544,DB00188,-10.47941439
5-FU,BORTEZOMIB,SKMEL30,DB00544,DB00188,-172.8887021
5-FU,BORTEZOMIB,SKMES1,DB00544,DB00188,-11.64272985
5-FU,BORTEZOMIB,SKOV3,DB00544,DB00188,-4.604893623
5-FU,BORTEZOMIB,SW620,DB00544,DB00188,-1.907966818
5-FU,BORTEZOMIB,SW837,DB00544,DB00188,-1.3618595
5-FU,BORTEZOMIB,T47D,DB00544,DB00188,2.748791181
5-FU,BORTEZOMIB,UACC62,DB00544,DB00188,-17.84185108
5-FU,BORTEZOMIB,VCAP,DB00544,DB00188,-7.053510631
5-FU,BORTEZOMIB,ZR751,DB00544,DB00188,-17.45137527
5-FU,DASATINIB,A2058,DB00544,DB01254,31.12564418
5-FU,DASATINIB,A2780,DB00544,DB01254,50.60366026
5-FU,DASATINIB,A375,DB00544,DB01254,2.683689159
5-FU,DASATINIB,CAOV3,DB00544,DB01254,17.87983173
5-FU,DASATINIB,DLD1,DB00544,DB01254,21.43309088
5-FU,DASATINIB,ES2,DB00544,DB01254,17.69019535
5-FU,DASATINIB,HCT116,DB00544,DB01254,-7.819271786
5-FU,DASATINIB,HT144,DB00544,DB01254,-22.97327812
5-FU,DASATINIB,HT29,DB00544,DB01254,17.06698076
5-FU,DASATINIB,KPL1,DB00544,DB01254,3.446811911
5-FU,DASATINIB,LOVO,DB00544,DB01254,21.38558819
5-FU,DASATINIB,MDAMB436,DB00544,DB01254,18.71869688
5-FU,DASATINIB,NCIH1650,DB00544,DB01254,23.23497071
5-FU,DASATINIB,NCIH2122,DB00544,DB01254,-31.1947196
5-FU,DASATINIB,NCIH23,DB00544,DB01254,11.55914675
5-FU,DASATINIB,NCIH460,DB00544,DB01254,21.6687261
5-FU,DASATINIB,NCIH520,DB00544,DB01254,42.73505144
5-FU,DASATINIB,OV90,DB00544,DB01254,0.433034774
5-FU,DASATINIB,RKO,DB00544,DB01254,17.31163283
5-FU,DASATINIB,RPMI7951,DB00544,DB01254,19.06355103
5-FU,DASATINIB,SKMEL30,DB00544,DB01254,-4.618694814
5-FU,DASATINIB,SKMES1,DB00544,DB01254,2.981820492
5-FU,DASATINIB,SKOV3,DB00544,DB01254,1.304656068
5-FU,DASATINIB,SW620,DB00544,DB01254,30.44463084
5-FU,DASATINIB,SW837,DB00544,DB01254,15.87733689
5-FU,DASATINIB,T47D,DB00544,DB01254,18.86560141
5-FU,DASATINIB,UACC62,DB00544,DB01254,12.12396034
5-FU,DASATINIB,VCAP,DB00544,DB01254,21.45572644
5-FU,DASATINIB,ZR751,DB00544,DB01254,5.114279433
5-FU,ERLOTINIB,A2058,DB00544,DB00530,9.694285755
5-FU,ERLOTINIB,A2780,DB00544,DB00530,16.5693311
5-FU,ERLOTINIB,A375,DB00544,DB00530,13.96439243
5-FU,ERLOTINIB,CAOV3,DB00544,DB00530,-7.951635169
5-FU,ERLOTINIB,DLD1,DB00544,DB00530,10.18127129
5-FU,ERLOTINIB,ES2,DB00544,DB00530,15.1231625
5-FU,ERLOTINIB,HCT116,DB00544,DB00530,14.45297793
5-FU,ERLOTINIB,HT144,DB00544,DB00530,9.559453271
5-FU,ERLOTINIB,HT29,DB00544,DB00530,11.33747162
5-FU,ERLOTINIB,KPL1,DB00544,DB00530,-3.015273458
5-FU,ERLOTINIB,LOVO,DB00544,DB00530,12.41733168
5-FU,ERLOTINIB,MDAMB436,DB00544,DB00530,16.1498979
5-FU,ERLOTINIB,NCIH1650,DB00544,DB00530,0.92478625
5-FU,ERLOTINIB,NCIH2122,DB00544,DB00530,24.45497683
5-FU,ERLOTINIB,NCIH23,DB00544,DB00530,6.37341014
5-FU,ERLOTINIB,NCIH460,DB00544,DB00530,17.22484698
5-FU,ERLOTINIB,NCIH520,DB00544,DB00530,7.235758199
5-FU,ERLOTINIB,OV90,DB00544,DB00530,-11.04004585
5-FU,ERLOTINIB,RKO,DB00544,DB00530,20.98757258
5-FU,ERLOTINIB,RPMI7951,DB00544,DB00530,17.00484175
5-FU,ERLOTINIB,SKMEL30,DB00544,DB00530,13.95488386
5-FU,ERLOTINIB,SKMES1,DB00544,DB00530,21.28942476
5-FU,ERLOTINIB,SKOV3,DB00544,DB00530,16.21061763
5-FU,ERLOTINIB,SW620,DB00544,DB00530,0.494890451
5-FU,ERLOTINIB,SW837,DB00544,DB00530,17.29938762
5-FU,ERLOTINIB,T47D,DB00544,DB00530,-3.049710368
5-FU,ERLOTINIB,UACC62,DB00544,DB00530,17.96898601
5-FU,ERLOTINIB,VCAP,DB00544,DB00530,24.41379314
5-FU,ERLOTINIB,ZR751,DB00544,DB00530,22.8306176
5-FU,GELDANAMYCIN,A2058,DB00544,DB02424,7.376709238
5-FU,GELDANAMYCIN,A2780,DB00544,DB02424,0.911963942
5-FU,GELDANAMYCIN,A375,DB00544,DB02424,7.160975098
5-FU,GELDANAMYCIN,CAOV3,DB00544,DB02424,-12.98670671
5-FU,GELDANAMYCIN,DLD1,DB00544,DB02424,2.433895807
5-FU,GELDANAMYCIN,ES2,DB00544,DB02424,-5.25702499
5-FU,GELDANAMYCIN,HCT116,DB00544,DB02424,2.916663442
5-FU,GELDANAMYCIN,HT144,DB00544,DB02424,5.372215888
5-FU,GELDANAMYCIN,HT29,DB00544,DB02424,-3.946071269
5-FU,GELDANAMYCIN,KPL1,DB00544,DB02424,2.330576841
5-FU,GELDANAMYCIN,LOVO,DB00544,DB02424,-6.353136659
5-FU,GELDANAMYCIN,MDAMB436,DB00544,DB02424,5.799105229
5-FU,GELDANAMYCIN,NCIH1650,DB00544,DB02424,-6.752269383
5-FU,GELDANAMYCIN,NCIH2122,DB00544,DB02424,-2.692734853
5-FU,GELDANAMYCIN,NCIH23,DB00544,DB02424,-9.33481084
5-FU,GELDANAMYCIN,NCIH460,DB00544,DB02424,-2.446804514
5-FU,GELDANAMYCIN,NCIH520,DB00544,DB02424,3.513037679
5-FU,GELDANAMYCIN,OV90,DB00544,DB02424,0.284508898
5-FU,GELDANAMYCIN,RKO,DB00544,DB02424,5.246180398
5-FU,GELDANAMYCIN,RPMI7951,DB00544,DB02424,-8.084247184
5-FU,GELDANAMYCIN,SKMEL30,DB00544,DB02424,-80.63896867
5-FU,GELDANAMYCIN,SKMES1,DB00544,DB02424,2.703605277
5-FU,GELDANAMYCIN,SKOV3,DB00544,DB02424,-9.188164195
5-FU,GELDANAMYCIN,SW620,DB00544,DB02424,-2.851271236
5-FU,GELDANAMYCIN,SW837,DB00544,DB02424,-10.01418099
5-FU,GELDANAMYCIN,T47D,DB00544,DB02424,30.67999441
5-FU,GELDANAMYCIN,UACC62,DB00544,DB02424,-1.345401011
5-FU,GELDANAMYCIN,VCAP,DB00544,DB02424,14.04451922
5-FU,GELDANAMYCIN,ZR751,DB00544,DB02424,-15.00928456
5-FU,LAPATINIB,A2058,DB00544,DB01259,9.192138149
5-FU,LAPATINIB,A2780,DB00544,DB01259,8.011124809
5-FU,LAPATINIB,A375,DB00544,DB01259,7.497787303
5-FU,LAPATINIB,CAOV3,DB00544,DB01259,-6.77752803
5-FU,LAPATINIB,DLD1,DB00544,DB01259,11.55462668
5-FU,LAPATINIB,ES2,DB00544,DB01259,5.344512472
5-FU,LAPATINIB,HCT116,DB00544,DB01259,9.688038389
5-FU,LAPATINIB,HT144,DB00544,DB01259,4.670574992
5-FU,LAPATINIB,HT29,DB00544,DB01259,4.533085635
5-FU,LAPATINIB,KPL1,DB00544,DB01259,-9.537311313
5-FU,LAPATINIB,LOVO,DB00544,DB01259,17.4905864
5-FU,LAPATINIB,MDAMB436,DB00544,DB01259,3.644635579
5-FU,LAPATINIB,NCIH1650,DB00544,DB01259,0.905817371
5-FU,LAPATINIB,NCIH2122,DB00544,DB01259,9.956195978
5-FU,LAPATINIB,NCIH23,DB00544,DB01259,-8.734799525
5-FU,LAPATINIB,NCIH460,DB00544,DB01259,-2.035012581
5-FU,LAPATINIB,NCIH520,DB00544,DB01259,-7.263521908
5-FU,LAPATINIB,OV90,DB00544,DB01259,-9.295070254
5-FU,LAPATINIB,RKO,DB00544,DB01259,11.54453602
5-FU,LAPATINIB,RPMI7951,DB00544,DB01259,3.318764866
5-FU,LAPATINIB,SKMEL30,DB00544,DB01259,9.483503745
5-FU,LAPATINIB,SKMES1,DB00544,DB01259,11.05964102
5-FU,LAPATINIB,SKOV3,DB00544,DB01259,7.118783779
5-FU,LAPATINIB,SW620,DB00544,DB01259,-2.41819166
5-FU,LAPATINIB,SW837,DB00544,DB01259,6.956325429
5-FU,LAPATINIB,T47D,DB00544,DB01259,14.90928278
5-FU,LAPATINIB,UACC62,DB00544,DB01259,9.119946303
5-FU,LAPATINIB,VCAP,DB00544,DB01259,10.63255814
5-FU,LAPATINIB,ZR751,DB00544,DB01259,14.67630666
5-FU,SORAFENIB,A2058,DB00544,DB00398,1.487456177
5-FU,SORAFENIB,A2780,DB00544,DB00398,2.077318362
5-FU,SORAFENIB,A375,DB00544,DB00398,1.312446684
5-FU,SORAFENIB,CAOV3,DB00544,DB00398,-16.67220342
5-FU,SORAFENIB,DLD1,DB00544,DB00398,6.320510556
5-FU,SORAFENIB,ES2,DB00544,DB00398,0.126680077
5-FU,SORAFENIB,HCT116,DB00544,DB00398,-1.955025391
5-FU,SORAFENIB,HT144,DB00544,DB00398,4.459502599
5-FU,SORAFENIB,HT29,DB00544,DB00398,-3.551610833
5-FU,SORAFENIB,KPL1,DB00544,DB00398,-5.046283575
5-FU,SORAFENIB,LOVO,DB00544,DB00398,-13.81534377
5-FU,SORAFENIB,MDAMB436,DB00544,DB00398,-4.304317076
5-FU,SORAFENIB,NCIH1650,DB00544,DB00398,-2.500149835
5-FU,SORAFENIB,NCIH2122,DB00544,DB00398,-3.768823231
5-FU,SORAFENIB,NCIH23,DB00544,DB00398,-1.286810998
5-FU,SORAFENIB,NCIH460,DB00544,DB00398,-0.895637539
5-FU,SORAFENIB,NCIH520,DB00544,DB00398,5.28680143
5-FU,SORAFENIB,OV90,DB00544,DB00398,2.416837201
5-FU,SORAFENIB,RKO,DB00544,DB00398,1.883583913
5-FU,SORAFENIB,RPMI7951,DB00544,DB00398,-5.041472651
5-FU,SORAFENIB,SKMEL30,DB00544,DB00398,2.120028283
5-FU,SORAFENIB,SKMES1,DB00544,DB00398,0.28515445
5-FU,SORAFENIB,SKOV3,DB00544,DB00398,10.2363359
5-FU,SORAFENIB,SW620,DB00544,DB00398,0.574152697
5-FU,SORAFENIB,SW837,DB00544,DB00398,-8.60896251
5-FU,SORAFENIB,T47D,DB00544,DB00398,-4.531377558
5-FU,SORAFENIB,UACC62,DB00544,DB00398,0.326449314
5-FU,SORAFENIB,VCAP,DB00544,DB00398,1.444307744
5-FU,SORAFENIB,ZR751,DB00544,DB00398,-11.36179266
5-FU,SUNITINIB,A2058,DB00544,DB01268,9.621620126
5-FU,SUNITINIB,A2780,DB00544,DB01268,9.700986375
5-FU,SUNITINIB,A375,DB00544,DB01268,7.351048597
5-FU,SUNITINIB,CAOV3,DB00544,DB01268,5.092136253
5-FU,SUNITINIB,DLD1,DB00544,DB01268,10.90526109
5-FU,SUNITINIB,ES2,DB00544,DB01268,14.41382075
5-FU,SUNITINIB,HCT116,DB00544,DB01268,7.332783493
5-FU,SUNITINIB,HT144,DB00544,DB01268,4.677389118
5-FU,SUNITINIB,HT29,DB00544,DB01268,3.379046398
5-FU,SUNITINIB,KPL1,DB00544,DB01268,7.229487797
5-FU,SUNITINIB,LOVO,DB00544,DB01268,2.082310176
5-FU,SUNITINIB,MDAMB436,DB00544,DB01268,5.231389265
5-FU,SUNITINIB,NCIH1650,DB00544,DB01268,4.374037921
5-FU,SUNITINIB,NCIH2122,DB00544,DB01268,5.838627875
5-FU,SUNITINIB,NCIH23,DB00544,DB01268,3.141670668
5-FU,SUNITINIB,NCIH460,DB00544,DB01268,7.129324107
5-FU,SUNITINIB,NCIH520,DB00544,DB01268,5.810341082
5-FU,SUNITINIB,OV90,DB00544,DB01268,3.664358548
5-FU,SUNITINIB,RKO,DB00544,DB01268,7.996355114
5-FU,SUNITINIB,RPMI7951,DB00544,DB01268,-1.343261089
5-FU,SUNITINIB,SKMEL30,DB00544,DB01268,3.667165234
5-FU,SUNITINIB,SKMES1,DB00544,DB01268,11.90261481
5-FU,SUNITINIB,SKOV3,DB00544,DB01268,18.2643848
5-FU,SUNITINIB,SW620,DB00544,DB01268,6.859498039
5-FU,SUNITINIB,SW837,DB00544,DB01268,-4.901836837
5-FU,SUNITINIB,T47D,DB00544,DB01268,8.941154332
5-FU,SUNITINIB,UACC62,DB00544,DB01268,8.795687473
5-FU,SUNITINIB,VCAP,DB00544,DB01268,12.48379896
5-FU,SUNITINIB,ZR751,DB00544,DB01268,6.169627433
5-FU,ZOLINZA,A2058,DB00544,DB02546,-5.508119589
5-FU,ZOLINZA,A2780,DB00544,DB02546,-3.848401273
5-FU,ZOLINZA,A375,DB00544,DB02546,0.369467134
5-FU,ZOLINZA,CAOV3,DB00544,DB02546,-3.518537503
5-FU,ZOLINZA,DLD1,DB00544,DB02546,0.049805671
5-FU,ZOLINZA,ES2,DB00544,DB02546,-1.689816761
5-FU,ZOLINZA,HCT116,DB00544,DB02546,-8.735905545
5-FU,ZOLINZA,HT144,DB00544,DB02546,-4.394725666
5-FU,ZOLINZA,HT29,DB00544,DB02546,-1.42768389
5-FU,ZOLINZA,KPL1,DB00544,DB02546,-4.343384834
5-FU,ZOLINZA,LOVO,DB00544,DB02546,-8.398048463
5-FU,ZOLINZA,MDAMB436,DB00544,DB02546,4.86044214
5-FU,ZOLINZA,NCIH1650,DB00544,DB02546,0.631303772
5-FU,ZOLINZA,NCIH2122,DB00544,DB02546,10.65626958
5-FU,ZOLINZA,NCIH23,DB00544,DB02546,-15.10567636
5-FU,ZOLINZA,NCIH460,DB00544,DB02546,7.057218329
5-FU,ZOLINZA,NCIH520,DB00544,DB02546,-7.702952771
5-FU,ZOLINZA,OV90,DB00544,DB02546,-0.210268239
5-FU,ZOLINZA,RKO,DB00544,DB02546,11.04834069
5-FU,ZOLINZA,RPMI7951,DB00544,DB02546,-0.240638175
5-FU,ZOLINZA,SKMEL30,DB00544,DB02546,-4.880397628
5-FU,ZOLINZA,SKMES1,DB00544,DB02546,14.06216364
5-FU,ZOLINZA,SKOV3,DB00544,DB02546,5.702955068
5-FU,ZOLINZA,SW620,DB00544,DB02546,-17.22800516
5-FU,ZOLINZA,SW837,DB00544,DB02546,-3.532158377
5-FU,ZOLINZA,T47D,DB00544,DB02546,7.530007948
5-FU,ZOLINZA,UACC62,DB00544,DB02546,3.932423451
5-FU,ZOLINZA,VCAP,DB00544,DB02546,22.99565591
5-FU,ZOLINZA,ZR751,DB00544,DB02546,-20.67751276
ABT-888,GELDANAMYCIN,A2058,DB07232,DB02424,22.66972082
ABT-888,GELDANAMYCIN,A2780,DB07232,DB02424,11.09323155
ABT-888,GELDANAMYCIN,A375,DB07232,DB02424,11.68003927
ABT-888,GELDANAMYCIN,CAOV3,DB07232,DB02424,16.7029633
ABT-888,GELDANAMYCIN,DLD1,DB07232,DB02424,3.978183476
ABT-888,GELDANAMYCIN,ES2,DB07232,DB02424,0.337882732
ABT-888,GELDANAMYCIN,HCT116,DB07232,DB02424,22.97216302
ABT-888,GELDANAMYCIN,HT144,DB07232,DB02424,2.985761376
ABT-888,GELDANAMYCIN,HT29,DB07232,DB02424,-4.782981467
ABT-888,GELDANAMYCIN,KPL1,DB07232,DB02424,15.32356048
ABT-888,GELDANAMYCIN,LOVO,DB07232,DB02424,13.06813937
ABT-888,GELDANAMYCIN,MDAMB436,DB07232,DB02424,17.35034091
ABT-888,GELDANAMYCIN,NCIH1650,DB07232,DB02424,-5.261806453
ABT-888,GELDANAMYCIN,NCIH2122,DB07232,DB02424,6.877978069
ABT-888,GELDANAMYCIN,NCIH23,DB07232,DB02424,-6.233105646
ABT-888,GELDANAMYCIN,NCIH460,DB07232,DB02424,-2.126961774
ABT-888,GELDANAMYCIN,NCIH520,DB07232,DB02424,-1.957498827
ABT-888,GELDANAMYCIN,OV90,DB07232,DB02424,-8.587738631
ABT-888,GELDANAMYCIN,RKO,DB07232,DB02424,33.83147768
ABT-888,GELDANAMYCIN,RPMI7951,DB07232,DB02424,0.646568958
ABT-888,GELDANAMYCIN,SKMEL30,DB07232,DB02424,30.34189343
ABT-888,GELDANAMYCIN,SKMES1,DB07232,DB02424,7.808516678
ABT-888,GELDANAMYCIN,SKOV3,DB07232,DB02424,-10.74656256
ABT-888,GELDANAMYCIN,SW620,DB07232,DB02424,-15.0026455
ABT-888,GELDANAMYCIN,SW837,DB07232,DB02424,6.088914754
ABT-888,GELDANAMYCIN,T47D,DB07232,DB02424,-27.25381749
ABT-888,GELDANAMYCIN,UACC62,DB07232,DB02424,4.172844076
ABT-888,GELDANAMYCIN,VCAP,DB07232,DB02424,10.28090348
ABT-888,GELDANAMYCIN,ZR751,DB07232,DB02424,-17.08015794
ABT-888,SN-38,A2058,DB07232,DB05482,37.19755244
ABT-888,SN-38,A2780,DB07232,DB05482,27.44316256
ABT-888,SN-38,A375,DB07232,DB05482,29.45915958
ABT-888,SN-38,CAOV3,DB07232,DB05482,41.82261363
ABT-888,SN-38,DLD1,DB07232,DB05482,8.203345162
ABT-888,SN-38,ES2,DB07232,DB05482,4.098810775
ABT-888,SN-38,HCT116,DB07232,DB05482,23.42591491
ABT-888,SN-38,HT144,DB07232,DB05482,8.14545575
ABT-888,SN-38,HT29,DB07232,DB05482,9.5417494
ABT-888,SN-38,KPL1,DB07232,DB05482,8.552068416
ABT-888,SN-38,LOVO,DB07232,DB05482,-6.582623677
ABT-888,SN-38,MDAMB436,DB07232,DB05482,18.2214475
ABT-888,SN-38,NCIH1650,DB07232,DB05482,4.188074545
ABT-888,SN-38,NCIH2122,DB07232,DB05482,21.39044581
ABT-888,SN-38,NCIH23,DB07232,DB05482,16.48392844
ABT-888,SN-38,NCIH460,DB07232,DB05482,22.60303623
ABT-888,SN-38,NCIH520,DB07232,DB05482,12.92903881
ABT-888,SN-38,OV90,DB07232,DB05482,19.59451994
ABT-888,SN-38,RKO,DB07232,DB05482,30.53249026
ABT-888,SN-38,RPMI7951,DB07232,DB05482,23.87063157
ABT-888,SN-38,SKMEL30,DB07232,DB05482,29.65052395
ABT-888,SN-38,SKMES1,DB07232,DB05482,20.08675206
ABT-888,SN-38,SKOV3,DB07232,DB05482,6.263746217
ABT-888,SN-38,SW620,DB07232,DB05482,17.8852224
ABT-888,SN-38,SW837,DB07232,DB05482,7.044315501
ABT-888,SN-38,T47D,DB07232,DB05482,39.83231175
ABT-888,SN-38,UACC62,DB07232,DB05482,24.96544956
ABT-888,SN-38,VCAP,DB07232,DB05482,-8.532292059
ABT-888,SN-38,ZR751,DB07232,DB05482,-12.24364896
ABT-888,SORAFENIB,A2058,DB07232,DB00398,36.19616521
ABT-888,SORAFENIB,A2780,DB07232,DB00398,8.258155148
ABT-888,SORAFENIB,A375,DB07232,DB00398,16.66954556
ABT-888,SORAFENIB,CAOV3,DB07232,DB00398,-2.172723037
ABT-888,SORAFENIB,DLD1,DB07232,DB00398,12.05900768
ABT-888,SORAFENIB,ES2,DB07232,DB00398,7.062098273
ABT-888,SORAFENIB,HCT116,DB07232,DB00398,11.83303853
ABT-888,SORAFENIB,HT144,DB07232,DB00398,10.74108755
ABT-888,SORAFENIB,HT29,DB07232,DB00398,3.777313148
ABT-888,SORAFENIB,KPL1,DB07232,DB00398,4.111858838
ABT-888,SORAFENIB,LOVO,DB07232,DB00398,2.735996957
ABT-888,SORAFENIB,MDAMB436,DB07232,DB00398,-0.60226086
ABT-888,SORAFENIB,NCIH1650,DB07232,DB00398,0.051559908
ABT-888,SORAFENIB,NCIH2122,DB07232,DB00398,16.50221722
ABT-888,SORAFENIB,NCIH23,DB07232,DB00398,13.68925526
ABT-888,SORAFENIB,NCIH460,DB07232,DB00398,11.61299788
ABT-888,SORAFENIB,NCIH520,DB07232,DB00398,13.6574206
ABT-888,SORAFENIB,OV90,DB07232,DB00398,5.776490661
ABT-888,SORAFENIB,RKO,DB07232,DB00398,24.38215762
ABT-888,SORAFENIB,RPMI7951,DB07232,DB00398,10.40454585
ABT-888,SORAFENIB,SKMEL30,DB07232,DB00398,5.7759517
ABT-888,SORAFENIB,SKMES1,DB07232,DB00398,17.41794704
ABT-888,SORAFENIB,SKOV3,DB07232,DB00398,14.06439559
ABT-888,SORAFENIB,SW620,DB07232,DB00398,15.89637086
ABT-888,SORAFENIB,SW837,DB07232,DB00398,5.935988799
ABT-888,SORAFENIB,T47D,DB07232,DB00398,13.26383871
ABT-888,SORAFENIB,UACC62,DB07232,DB00398,17.27990593
ABT-888,SORAFENIB,VCAP,DB07232,DB00398,7.804424433
ABT-888,SORAFENIB,ZR751,DB07232,DB00398,-4.469226553
ABT-888,TOPOTECAN,A2058,DB07232,DB01030,-1.187531198
ABT-888,TOPOTECAN,A2780,DB07232,DB01030,11.86213265
ABT-888,TOPOTECAN,A375,DB07232,DB01030,-30.05242132
ABT-888,TOPOTECAN,CAOV3,DB07232,DB01030,3.218307642
ABT-888,TOPOTECAN,DLD1,DB07232,DB01030,-10.96641065
ABT-888,TOPOTECAN,ES2,DB07232,DB01030,-15.16316218
ABT-888,TOPOTECAN,HCT116,DB07232,DB01030,-5.778504579
ABT-888,TOPOTECAN,HT144,DB07232,DB01030,-12.71817083
ABT-888,TOPOTECAN,HT29,DB07232,DB01030,-13.74201482
ABT-888,TOPOTECAN,KPL1,DB07232,DB01030,9.915244986
ABT-888,TOPOTECAN,LOVO,DB07232,DB01030,-20.57774761
ABT-888,TOPOTECAN,MDAMB436,DB07232,DB01030,0.824337474
ABT-888,TOPOTECAN,NCIH1650,DB07232,DB01030,-16.28525243
ABT-888,TOPOTECAN,NCIH2122,DB07232,DB01030,-5.01979887
ABT-888,TOPOTECAN,NCIH23,DB07232,DB01030,-13.17469848
ABT-888,TOPOTECAN,NCIH460,DB07232,DB01030,-35.55824357
ABT-888,TOPOTECAN,NCIH520,DB07232,DB01030,-3.088285265
ABT-888,TOPOTECAN,OV90,DB07232,DB01030,-8.185136381
ABT-888,TOPOTECAN,RKO,DB07232,DB01030,-12.44712596
ABT-888,TOPOTECAN,RPMI7951,DB07232,DB01030,-2.173326235
ABT-888,TOPOTECAN,SKMEL30,DB07232,DB01030,-7.161263697
ABT-888,TOPOTECAN,SKMES1,DB07232,DB01030,-17.67508406
ABT-888,TOPOTECAN,SKOV3,DB07232,DB01030,-9.215505679
ABT-888,TOPOTECAN,SW620,DB07232,DB01030,2.557559841
ABT-888,TOPOTECAN,SW837,DB07232,DB01030,-13.77537319
ABT-888,TOPOTECAN,T47D,DB07232,DB01030,10.2752314
ABT-888,TOPOTECAN,UACC62,DB07232,DB01030,-5.778245151
ABT-888,TOPOTECAN,VCAP,DB07232,DB01030,-16.73042364
ABT-888,TOPOTECAN,ZR751,DB07232,DB01030,-3.791271445
BORTEZOMIB,ABT-888,A2058,DB00188,DB07232,7.23794769
BORTEZOMIB,ABT-888,A2780,DB00188,DB07232,-7.797682304
BORTEZOMIB,ABT-888,A375,DB00188,DB07232,15.1176728
BORTEZOMIB,ABT-888,CAOV3,DB00188,DB07232,28.91084263
BORTEZOMIB,ABT-888,DLD1,DB00188,DB07232,9.165916843
BORTEZOMIB,ABT-888,ES2,DB00188,DB07232,-2.230632319
BORTEZOMIB,ABT-888,HCT116,DB00188,DB07232,7.320155847
BORTEZOMIB,ABT-888,HT144,DB00188,DB07232,-2.168953777
BORTEZOMIB,ABT-888,HT29,DB00188,DB07232,-15.42171027
BORTEZOMIB,ABT-888,KPL1,DB00188,DB07232,19.04739794
BORTEZOMIB,ABT-888,LOVO,DB00188,DB07232,1.040175706
BORTEZOMIB,ABT-888,MDAMB436,DB00188,DB07232,2.841427648
BORTEZOMIB,ABT-888,NCIH1650,DB00188,DB07232,-11.33553539
BORTEZOMIB,ABT-888,NCIH2122,DB00188,DB07232,15.89472332
BORTEZOMIB,ABT-888,NCIH23,DB00188,DB07232,-1.349348796
BORTEZOMIB,ABT-888,NCIH460,DB00188,DB07232,8.981162136
BORTEZOMIB,ABT-888,NCIH520,DB00188,DB07232,-21.12397099
BORTEZOMIB,ABT-888,OV90,DB00188,DB07232,5.606347083
