original_name,search_name,ChEMBL_ID,SMILES,SELFIES
DOXORUBICIN,Doxorubicin,CHEMBL53463,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(=O)CO)C[C@@H]3O[C@H]1C[C@H](N)[C@H](O)[C@H](C)O1,[C][O][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][C][=C][Branch1][C][O][C][=C][Branch1][N][C][Branch1][C][O][=C][Ring1][Branch2][C][Ring1][=N][=O][C][C@@][Branch1][C][O][Branch1][#Branch1][C][=Branch1][C][=O][C][O][C][C@@H1][Ring1][S][O][C@H1][C][C@H1][Branch1][C][N][C@H1][Branch1][C][O][C@H1][Branch1][C][C][O][Ring1][=Branch2]
TOPOTECAN,Topotecan,CHEMBL305801,CCC1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3c(CN(C)C)c(O)ccc3nc2-1,[C][C][C][Branch1][C][O][C][=Branch1][C][=O][O][C][C][=C][Ring1][Branch2][C][=C][N][Branch1][Branch1][C][Ring1][=Branch1][=O][C][C][=C][C][=C][Branch1][#Branch1][C][N][Branch1][C][C][C][C][Branch1][C][O][=C][C][=C][Ring1][O][N][=C][Ring1][#C][Ring2][Ring1][Ring2]
PACLITAXEL,Paclitaxel,CHEMBL100910,CC(=O)OC1C(=O)C2(C)C(O)CC3OCC3(OC(C)=O)C2C(OC(=O)c2ccccc2)C2(O)CC(OC(=O)C(O)C(NC(=O)c3ccccc3)c3ccccc3)C(C)=C1C2(C)C,[C][C][=Branch1][C][=O][O][C][C][=Branch1][C][=O][C][Branch1][C][C][C][Branch1][C][O][C][C][O][C][C][Ring1][Ring2][Branch1][#Branch1][O][C][Branch1][C][C][=O][C][Ring1][=C][C][Branch1][=C][O][C][=Branch1][C][=O][C][=C][C][=C][C][=C][Ring1][=Branch1][C][Branch1][C][O][C][C][Branch2][Ring2][C][O][C][=Branch1][C][=O][C][Branch1][C][O][C][Branch1][=C][N][C][=Branch1][C][=O][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=C][C][=C][C][=C][Ring1][=Branch1][C][Branch1][C][C][=C][Ring2][Branch1][#Branch1][C][Ring2][Ring1][=N][Branch1][C][C][C]
DEXAMETHASONE,Dexamethasone,CHEMBL1697787,CC(=O)OCC(=O)[C@@]1(OC(=O)c2ccco2)[C@H](C)C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C,[C][C][=Branch1][C][=O][O][C][C][=Branch1][C][=O][C@@][Branch1][=N][O][C][=Branch1][C][=O][C][=C][C][=C][O][Ring1][Branch1][C@H1][Branch1][C][C][C][C@H1][C@@H1][C][C][C][=C][C][=Branch1][C][=O][C][=C][C@][Ring1][#Branch1][Branch1][C][C][C@@][Ring1][N][Branch1][C][F][C@@H1][Branch1][C][O][C][C@@][Ring2][Ring1][C][Ring2][Ring1][=C][C]
DASATINIB,Dasatinib,CHEMBL1421,Cc1nc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)cc(N2CCN(CCO)CC2)n1,[C][C][=N][C][Branch2][Ring1][=N][N][C][=N][C][=C][Branch2][Ring1][C][C][=Branch1][C][=O][N][C][=C][Branch1][C][C][C][=C][C][=C][Ring1][#Branch1][Cl][S][Ring1][S][=C][C][Branch1][=C][N][C][C][N][Branch1][Ring2][C][C][O][C][C][Ring1][=Branch2][=N][Ring2][Ring1][S]
LAPATINIB,Lapatinib,CHEMBL554,CS(=O)(=O)CCNCc1ccc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2)o1,[C][S][=Branch1][C][=O][=Branch1][C][=O][C][C][N][C][C][=C][C][=C][Branch2][Ring2][#C][C][=C][C][=C][N][=C][N][=C][Branch2][Ring1][N][N][C][=C][C][=C][Branch1][=C][O][C][C][=C][C][=C][C][Branch1][C][F][=C][Ring1][#Branch1][C][Branch1][C][Cl][=C][Ring1][S][C][Ring2][Ring1][#Branch1][=C][Ring2][Ring1][O][O][Ring2][Ring1][S]
SUNITINIB,Sunitinib,CHEMBL3109278,CCN(CC)CCNC(=O)c1c(C)[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c1C.O=C(O)CC(O)C(=O)O,[C][C][N][Branch1][Ring1][C][C][C][C][N][C][=Branch1][C][=O][C][=C][Branch1][C][C][NH1][C][Branch2][Ring1][Branch1][/C][=C][\C][=Branch1][C][=O][N][C][=C][C][=C][Branch1][C][F][C][=C][Ring1][#Branch1][Ring1][O][=C][Ring2][Ring1][C][C].[O][=C][Branch1][C][O][C][C][Branch1][C][O][C][=Branch1][C][=O][O]
GELDANAMYCIN,Geldanamycin,CHEMBL278315,COC1=C2C[C@@H](C)C[C@H](OC)[C@H](O)[C@@H](C)/C=C(\C)[C@H](OC(N)=O)[C@@H](OC)/C=C\C=C(/C)C(=O)NC(=CC1=O)C2=O,[C][O][C][=C][C][C@@H1][Branch1][C][C][C][C@H1][Branch1][Ring1][O][C][C@H1][Branch1][C][O][C@@H1][Branch1][C][C][/C][=C][Branch1][C][\C][C@H1][Branch1][#Branch1][O][C][Branch1][C][N][=O][C@@H1][Branch1][Ring1][O][C][/C][=C][\C][=C][Branch1][C][/C][C][=Branch1][C][=O][N][C][=Branch1][#Branch1][=C][C][Ring2][Ring2][Ring1][=O][C][Ring2][Ring2][Ring2][=O]
ZOLINZA,Vorinostat,CHEMBL98,O=C(CCCCCCC(=O)Nc1ccccc1)NO,[O][=C][Branch2][Ring1][Ring2][C][C][C][C][C][C][C][=Branch1][C][=O][N][C][=C][C][=C][C][=C][Ring1][=Branch1][N][O]
SN-38,7-Ethyl-10-hydroxycamptothecin,CHEMBL837,CCc1c2c(nc3ccc(O)cc13)-c1cc3c(c(=O)n1C2)COC(=O)[C@]3(O)CC,[C][C][C][=C][C][=Branch1][#C][=N][C][=C][C][=C][Branch1][C][O][C][=C][Ring1][O][Ring1][#Branch1][C][=C][C][=C][Branch1][N][C][=Branch1][C][=O][N][Ring1][#Branch1][C][Ring2][Ring1][C][C][O][C][=Branch1][C][=O][C@][Ring1][O][Branch1][C][O][C][C]
ABT-888,Veliparib,CHEMBL506871,C[C@]1(c2nc3c(C(N)=O)cccc3[nH]2)CCCN1,[C][C@][Branch2][Ring1][Branch1][C][=N][C][=C][Branch1][=Branch1][C][Branch1][C][N][=O][C][=C][C][=C][Ring1][=Branch2][NH1][Ring1][N][C][C][C][N][Ring1][P]
