Drug,SELFIES
DB00215,[C][N][Branch1][C][C][C][C][C][C][Branch2][Ring1][Ring1][C][=C][Branch1][Branch1][C][O][Ring1][Branch1][C][=C][Branch1][Branch1][C][=C][Ring1][Branch2][C][#N][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][F]
DB00216,[C][N][C][C][C][C][Ring1][Branch1][C][C][=C][N][C][=C][Ring1][Branch1][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][C][S][=Branch1][C][=O][=Branch1][C][=O][C][=C][C][=C][C][=C][Ring1][=Branch1]
DB00218,[C][O][C][=C][C][=Branch2][Ring1][=Branch1][=C][C][=Branch1][P][=C][Ring1][=Branch1][N][C][C][C][C][C][N][C][Ring1][=Branch1][C][Ring1][=Branch2][F][C][=Branch1][C][=O][C][=Branch1][O][=C][N][Ring2][Ring1][Ring2][C][C][C][Ring1][Ring1][C][=Branch1][C][=O][O]
DB00222,[C][C][C][=C][Branch2][Branch1][C][C][N][Branch1][Branch1][C][Ring1][Branch1][=O][C][=Branch1][C][=O][N][C][C][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][S][=Branch1][C][=O][=Branch1][C][=O][N][C][=Branch1][C][=O][N][C][C][C][C][Branch1][Branch1][C][C][Ring1][=Branch1][C][C]
DB00227,[C][C][C][Branch1][C][C][C][=Branch1][C][=O][O][C][C][C][Branch2][Ring1][P][C][=C][C][Ring1][=Branch1][C][Branch1][=Branch2][C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][C][C][C][C][C][Branch1][=Branch2][C][C][=Branch1][C][=O][O][Ring1][#Branch1][O][C]
DB00230,[C][C][Branch1][C][C][C][C][Branch1][#Branch1][C][C][=Branch1][C][=O][O][C][N]
DB00232,[C][N][C][Branch2][Ring1][#C][N][C][=C][C][=Branch2][Ring1][#Branch1][=C][Branch1][N][C][=C][Ring1][=Branch1][S][Ring1][#Branch2][=Branch1][C][=O][=O][S][=Branch1][C][=O][=Branch1][C][=O][N][Cl][C][Cl]
DB00233,[C][=C][C][=Branch1][#Branch2][=C][Branch1][=Branch1][C][=C][Ring1][=Branch1][N][O][C][=Branch1][C][=O][O]
DB00234,[C][C][O][C][=C][C][=C][C][=C][Ring1][=Branch1][O][C][Branch1][=Branch2][C][C][N][C][C][O][Ring1][=Branch1][C][=C][C][=C][C][=C][Ring1][=Branch1]
DB00235,[C][C][=C][Branch1][=C][C][=C][Branch1][Branch2][C][=Branch1][C][=O][N][Ring1][#Branch1][C][#N][C][=C][C][=N][C][=C][Ring1][=Branch1]
DB00242,[C][C][Branch2][Ring1][=C][C][Branch2][Ring1][Branch2][O][C][Ring1][Branch1][N][C][=N][C][=C][Branch1][N][N][=C][Branch1][#Branch1][N][=C][Ring1][=Branch1][Ring1][=Branch2][Cl][N][C][O][O]
DB00244,[C][=C][C][=Branch1][=C][=C][Branch1][=Branch1][C][=C][Ring1][=Branch1][N][C][=Branch1][C][=O][O][O]
DB00245,[C][N][C][C][C][C][Ring1][Branch1][C][C][Branch1][Ring2][C][Ring1][#Branch1][O][C][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=C][C][=C][C][=C][Ring1][=Branch1]
DB00246,[C][C][N][Branch2][Ring1][=N][C][C][N][Ring1][=Branch1][C][C][C][=C][Branch1][P][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][C][=Branch1][C][=O][N][Ring1][#Branch1][Cl][C][=N][S][C][=C][C][=C][C][=C][Ring1][=Branch1][Ring1][=Branch2]
DB00249,[C][C][Branch2][Ring1][#Branch2][C][Branch2][Ring1][Ring2][O][C][Ring1][Branch1][N][C][=C][Branch1][#Branch2][C][=Branch1][C][=O][N][C][Ring1][#Branch1][=O][I][C][O][O]
DB00252,[C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][Branch1][=N][C][=Branch1][C][=O][N][C][=Branch1][C][=O][N][Ring1][#Branch1][C][=C][C][=C][C][=C][Ring1][=Branch1]
DB00255,[C][C][C][=Branch1][P][=C][Branch1][Ring1][C][C][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][O][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][O]
DB00257,[C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][Branch1][#Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][Cl][N][C][=C][N][=C][Ring1][Branch1]
DB00259,[C][=C][C][=Branch1][#Branch1][=C][C][=C][Ring1][=Branch1][N][S][=Branch1][C][=O][=Branch1][C][=O][N]
DB00260,[C][C][Branch1][=Branch2][C][=Branch1][C][=O][N][O][Ring1][=Branch1][N]
DB00261,[C][C][=C][Branch1][O][C][=C][C][=Branch1][Branch1][=C][Ring1][=Branch1][Cl][Cl][N][=C][N][Ring1][N][C][C][=Branch1][C][=O][N][Ring1][=Branch1]
DB00262,[C][Branch1][Ring1][C][Cl][N][C][=Branch1][C][=O][N][Branch1][Ring2][C][C][Cl][N][=O]
DB00264,[C][C][Branch1][C][C][N][C][C][Branch1][P][C][O][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][C][O][C][O]
DB00268,[C][C][C][N][Branch1][Ring2][C][C][C][C][C][C][=C][C][C][=Branch1][C][=O][N][C][Ring1][=Branch1][=C][C][=C][Ring1][#Branch2]
DB00270,[C][C][=C][Branch2][Ring2][=Branch1][C][Branch2][Ring1][Branch1][C][=Branch1][Branch2][=C][Branch1][Ring2][N][Ring1][=Branch1][C][C][=Branch1][C][=O][O][C][Branch1][C][C][C][C][=C][C][=C][C][=N][O][N][=C][Ring1][Branch1][Ring1][=Branch2][C][=Branch1][C][=O][O][C]
DB00273,[C][C][Branch2][Ring2][#Branch1][O][C][C][O][C][Branch2][Ring1][Branch1][C][Branch1][#Branch1][C][Ring1][=Branch1][O][Ring1][=Branch2][O][C][Branch1][Ring2][O][Ring1][#Branch1][Branch1][C][C][C][C][O][S][=Branch1][C][=O][=Branch1][C][=O][N][C]
DB00275,[C][C][C][C][=N][C][=Branch2][Ring2][#Branch1][=C][Branch2][Ring1][=C][N][Ring1][Branch1][C][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=N][N][N][=N][Ring1][Branch1][C][=Branch1][C][=O][O][C][Branch1][C][C][Branch1][C][C][O]
DB00277,[C][N][C][=C][Branch1][=N][C][=Branch1][C][=O][N][Branch1][Branch1][C][Ring1][#Branch1][=O][C][N][C][=N][Ring1][O]
DB00278,[C][C][C][C][N][Branch1][N][C][Branch1][Ring2][C][Ring1][=Branch1][C][=Branch1][C][=O][O][C][=Branch1][C][=O][C][Branch1][#Branch2][C][C][C][N][=C][Branch1][C][N][N][N][S][=Branch1][C][=O][=Branch1][C][=O][C][=C][C][=C][C][=C][Ring1][=Branch1][N][C][C][Branch1][Ring2][C][Ring1][=Branch1][C]
DB00279,[C][=C][C][=Branch2][Ring2][Ring2][=C][Branch2][Ring1][#C][C][=C][Ring1][=Branch1][O][C][=C][Branch2][Ring1][Ring2][C][=C][Branch1][=Branch1][C][=C][Ring1][=Branch1][I][C][C][Branch1][=Branch1][C][=Branch1][C][=O][O][N][I][I][O]
DB00281,[C][C][N][Branch1][Ring1][C][C][C][C][=Branch1][C][=O][N][C][=C][Branch1][Branch2][C][=C][C][=C][Ring1][=Branch1][C][C]
DB00283,[C][C][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][Branch1][N][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][Cl][O][C][C][C][C][C][C][N][Ring1][Branch1][C]
DB00284,[C][C][C][Branch2][Branch1][=Branch2][C][Branch2][Branch1][Ring2][C][Branch2][Ring2][#C][C][Branch1][Ring2][O][Ring1][=Branch1][O][C][C][Branch2][Ring1][P][O][C][Branch1][=Branch2][C][Branch1][Branch1][C][Ring1][=Branch1][O][O][O][C][Branch1][#Branch1][C][Branch1][Ring1][C][O][O][C][Branch1][#Branch1][C][Branch1][Ring1][C][=O][O][O][C][O][O][O][N][C][C][=C][Branch1][=N][C][Branch1][=Branch2][C][Branch1][Branch1][C][Ring1][=Branch1][O][O][O][C][O]
DB00285,[C][N][Branch1][C][C][C][C][Branch1][=N][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][O][C][C][Branch1][Branch2][C][C][C][C][C][Ring1][=Branch1][O]
DB00287,[C][C][Branch1][C][C][O][C][=Branch1][C][=O][C][C][C][C][=C][C][C][C][Branch2][Ring2][Branch1][C][C][Branch2][Ring1][#C][C][Ring1][Branch1][C][=C][C][Branch2][Ring1][Branch1][C][O][C][=C][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][Branch1][C][F][Branch1][C][F][F][O][O][O]
DB00289,[C][C][=C][C][=C][C][=C][Ring1][=Branch1][O][C][Branch1][Branch1][C][C][N][C][C][=C][C][=C][C][=C][Ring1][=Branch1]
DB00290,[C][C][=C][Branch2][Ring1][=C][N][=C][Branch1][=Branch1][N][=C][Ring1][=Branch1][N][C][Branch1][#Branch1][C][C][=Branch1][C][=O][N][N][C][C][Branch1][=Branch1][C][=Branch1][C][=O][N][N][C][=Branch1][C][=O][N][C][Branch2][Branch1][N][C][Branch1][Branch2][C][=C][N][=C][N][Ring1][Branch1][O][C][C][Branch1][P][C][Branch1][=N][C][Branch1][=Branch2][C][Branch1][Ring2][O][Ring1][=Branch1][C][O][O][O][O][C][C][Branch2][Ring1][=Branch1][C][Branch1][=N][C][Branch1][=Branch2][C][Branch1][Ring2][O][Ring1][=Branch1][C][O][O][O][C][=Branch1][C][=O][N][O][C][=Branch1][C][=O][N][C][Branch1][C][C][C][Branch2][Branch1][Branch2][C][Branch1][C][C][C][=Branch1][C][=O][N][C][Branch1][=Branch1][C][Branch1][C][C][O][C][=Branch1][C][=O][N][C][C][C][=N][C][=Branch1][Branch1][=C][S][Ring1][Branch1][C][=N][C][=Branch1][Branch1][=C][S][Ring1][Branch1][C][=Branch1][C][=O][N][C][C][C][S+1][Branch1][C][C][C][O]
DB00292,[C][C][O][C][=Branch1][C][=O][C][=C][N][=C][N][Ring1][Branch1][C][Branch1][C][C][C][=C][C][=C][C][=C][Ring1][=Branch1]
DB00293,[C][C][=N][C][=C][Branch2][Ring2][O][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][N][Branch1][C][C][C][=C][C][=C][Branch1][Ring2][S][Ring1][Branch1][C][=Branch1][C][=O][N][C][Branch1][Branch2][C][C][C][=Branch1][C][=O][O][C][=Branch1][C][=O][O][C][=Branch1][C][=O][N][Ring2][Ring1][#C]
DB00296,[C][C][C][N][C][C][C][C][C][Ring1][=Branch1][C][=Branch1][C][=O][N][C][=C][Branch1][Branch2][C][=C][C][=C][Ring1][=Branch1][C][C]
DB00297,[C][C][C][C][N][C][C][C][C][C][Ring1][=Branch1][C][=Branch1][C][=O][N][C][=C][Branch1][Branch2][C][=C][C][=C][Ring1][=Branch1][C][C]
DB00302,[C][C][C][Branch1][Branch2][C][C][C][Ring1][=Branch1][C][N][C][=Branch1][C][=O][O]
DB00307,[C][C][=C][C][=C][Branch2][Ring1][Branch2][C][=C][Ring1][=Branch1][C][=Branch1][C][=C][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][O][C][Branch1][O][C][C][C][Ring2][Ring1][Ring1][Branch1][C][C][C][Branch1][C][C][C]
DB00308,[C][C][C][C][C][C][C][N][Branch1][Ring1][C][C][C][C][C][C][Branch2][Ring1][Ring2][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][N][S][=Branch1][C][=O][=Branch1][C][=O][C][O]
DB00315,[C][N][Branch1][C][C][C][C][C][=C][N][C][=C][Ring1][Branch1][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][C][C][O][C][=Branch1][C][=O][N][Ring1][=Branch1]
DB00316,[C][C][=Branch1][C][=O][N][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][O]
DB00317,[C][O][C][=C][Branch2][Ring1][=C][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][N][=C][N][=C][Ring1][#Branch1][N][C][=C][C][=Branch1][=Branch2][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][F][Cl][O][C][C][C][N][C][C][O][C][C][Ring1][=Branch1]
DB00321,[C][N][Branch1][C][C][C][C][C][=C][C][=C][C][=C][C][=C][Ring1][=Branch1][C][C][C][=C][C][=C][C][=C][Ring1][=Branch1][Ring1][#C]
DB00322,[C][C][Branch2][Ring1][#Branch2][C][Branch2][Ring1][Ring2][O][C][Ring1][Branch1][N][C][=C][Branch1][#Branch2][C][=Branch1][C][=O][N][C][Ring1][#Branch1][=O][F][C][O][O]
DB00323,[C][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][C][=C][C][=Branch1][N][=C][Branch1][Branch2][C][=Branch1][Ring2][=C][Ring1][=Branch1][O][O][N+1][=Branch1][C][=O][O-1]
DB00325,[C-1][#N].[C-1][#N].[C-1][#N].[C-1][#N].[C-1][#N].[N-1][=O].[Fe+4]
DB00328,[C][C][=C][Branch2][Ring2][C][C][=C][Branch2][Ring1][Ring1][N][Ring1][Branch1][C][=Branch1][C][=O][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][Cl][C][=C][C][=Branch1][Ring2][=C][Ring1][S][O][C][C][C][=Branch1][C][=O][O]
DB00331,[C][N][Branch1][C][C][C][=Branch1][C][=N][N][=C][Branch1][C][N][N]
DB00332,[C][C][Branch1][C][C][N+1][Branch2][Ring1][S][C][C][C][C][Ring1][Branch1][C][C][Branch1][Ring2][C][Ring1][#Branch1][O][C][=Branch1][C][=O][C][Branch1][Ring1][C][O][C][=C][C][=C][C][=C][Ring1][=Branch1][C]
DB00334,[C][C][=C][C][=C][Branch1][Ring2][S][Ring1][Branch1][N][C][=C][C][=C][C][=C][Ring1][=Branch1][N][=C][Ring1][N][N][C][C][N][Branch1][Branch1][C][C][Ring1][=Branch1][C]
DB00337,[C][C][C][C][=C][Branch2][#Branch1][#C][C][C][Branch2][#Branch1][=Branch2][C][C][Branch2][#Branch1][C][C][C][Branch2][=Branch1][O][C][C][Branch2][=Branch1][Branch1][C][Branch1][Ring2][O][Ring1][=Branch1][Branch2][Branch1][O][C][=Branch1][C][=O][C][=Branch1][C][=O][N][C][C][C][C][C][Ring1][=Branch1][C][=Branch1][C][=O][O][C][Branch1][#C][C][Branch1][O][C][Branch1][#Branch1][C][C][Ring2][Ring1][#C][=O][O][C][C][=Branch1][P][=C][C][C][C][C][Branch1][=Branch2][C][Branch1][Ring2][C][Ring1][=Branch1][O][C][Cl][C][O][C][O][C][O][C][C][C]
DB00338,[C][C][=C][N][=C][Branch1][#Branch2][C][=Branch1][=Branch1][=C][Ring1][=Branch1][O][C][C][C][S][=Branch1][C][=O][C][=N][C][=C][Branch1][Ring2][N][Ring1][Branch1][C][=C][Branch1][Branch1][C][=C][Ring1][#Branch1][O][C]
